Full Name,Birth Date (YYYY-MM-DD),Birth City,Birth State/Province (if applicable),Birth Country,Primary Profession,Primary Research Area,Major Contribution
Sidney Nakamoto 156,1991-06-23,Kyoto,,Japan,Artificial General Intelligence Researcher,Deep Learning Architectures & Neural Network Optimization,Foundational Contributions to Open-Source Operating Systems and Compilers
Ali Page 157,1983-11-13,Seoul,,South Korea,Artificial General Intelligence Researcher,Real-Time 3D Graphics & Game Engine Development,Developing Industry-Standard Game Engines and Physics Simulations
Ali Lovelace 158,1902-03-18,Bangalore,Karnataka,India,Interactive Entertainment Innovator,"Game Design Methodology, Simulation & Interactive Storytelling",Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Elena LeCun 159,1943-06-10,Austin,Texas,United States,Gaming Industry Pioneer,Deep Learning Architectures & Neural Network Optimization,Pioneering Transformer Models and Generative AI Paradigms
Andrew Brin 160,1972-02-12,London,,United Kingdom,Open Source Software Pioneer,"Distributed Systems, Operating Systems & Cloud Architecture",Advancing Reinforcement Learning for Complex Strategic Decision Making
Shuntaro Khosla 161,1912-10-26,Berlin,,Germany,Software Engineering Leader,Deep Learning Architectures & Neural Network Optimization,Developing Industry-Standard Game Engines and Physics Simulations
Satya Pichai 162,1992-04-07,Bangalore,Karnataka,India,Video Game Designer,"Game Design Methodology, Simulation & Interactive Storytelling",Advancing Reinforcement Learning for Complex Strategic Decision Making
Yann Nakamoto 163,1918-12-28,Shenzhen,,China,Artificial General Intelligence Researcher,Real-Time 3D Graphics & Game Engine Development,Advancing Reinforcement Learning for Complex Strategic Decision Making
Sundar Hinton 164,1981-01-17,London,,United Kingdom,Interactive Entertainment Innovator,Large Language Models & Generative Artificial Intelligence,Pioneering Transformer Models and Generative AI Paradigms
Shuntaro Wright 165,1938-04-04,Beijing,,China,Software Engineering Leader,Reinforcement Learning & Autonomous Decision Systems,Foundational Contributions to Open-Source Operating Systems and Compilers
Aman Ritchie 166,1980-09-02,Stockholm,,Sweden,Artificial Intelligence Researcher,"Game Design Methodology, Simulation & Interactive Storytelling",Developing Industry-Standard Game Engines and Physics Simulations
Sid Buterin 167,1970-04-04,Helsinki,,Finland,Artificial Intelligence Researcher,Real-Time 3D Graphics & Game Engine Development,Pioneering Transformer Models and Generative AI Paradigms
Demis Furukawa 168,1936-06-24,Sydney,New South Wales,Australia,Artificial General Intelligence Researcher,Large Language Models & Generative Artificial Intelligence,Foundational Contributions to Open-Source Operating Systems and Compilers
Linus Lovelace 169,1977-01-17,Vancouver,British Columbia,Canada,Video Game Designer,Deep Learning Architectures & Neural Network Optimization,Pioneering Transformer Models and Generative AI Paradigms
Demis Romero 170,1974-01-28,Palo Alto,California,United States,Artificial General Intelligence Researcher,"Game Design Methodology, Simulation & Interactive Storytelling",Foundational Contributions to Open-Source Operating Systems and Compilers
Grace Lovelace 171,1979-12-12,Austin,Texas,United States,Gaming Industry Pioneer,"Game Design Methodology, Simulation & Interactive Storytelling",Advancing Reinforcement Learning for Complex Strategic Decision Making
Sam Williams 172,1961-12-12,Bangalore,Karnataka,India,Game Engine Architect,Reinforcement Learning & Autonomous Decision Systems,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Bill Hernandez 173,1944-11-03,London,,United Kingdom,Software Engineering Leader,Deep Learning Architectures & Neural Network Optimization,Advancing Reinforcement Learning for Complex Strategic Decision Making
Satya Pichai 174,1947-10-15,Stockholm,,Sweden,Neural Network Researcher,Large Language Models & Generative Artificial Intelligence,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Ada Gates 175,1958-06-18,Palo Alto,California,United States,Game Engine Architect,"Distributed Systems, Operating Systems & Cloud Architecture",Foundational Contributions to Open-Source Operating Systems and Compilers
Sam Gates 176,1964-11-26,Sydney,New South Wales,Australia,Video Game Designer,"Distributed Systems, Operating Systems & Cloud Architecture",Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Sidney Huang 177,1964-06-24,Berlin,,Germany,Systems Software Architect,"Game Design Methodology, Simulation & Interactive Storytelling",Creating Iconic Open-World Video Games and Strategy Mechanics
Sid Torvalds 178,1985-01-23,Toronto,Ontario,Canada,Software Engineering Leader,"Game Design Methodology, Simulation & Interactive Storytelling",Creating Iconic Open-World Video Games and Strategy Mechanics
Gabe Page 179,1905-05-18,Tokyo,,Japan,Gaming Industry Pioneer,"Game Design Methodology, Simulation & Interactive Storytelling",Pioneering Transformer Models and Generative AI Paradigms
Brendan Khosla 180,1992-03-23,Austin,Texas,United States,Interactive Entertainment Innovator,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Roberta Carmack 181,1921-03-21,Tokyo,,Japan,Interactive Entertainment Innovator,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Vitalik Furukawa 182,1940-08-16,Helsinki,,Finland,Systems Software Architect,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Sid Wright 183,1930-08-27,Shenzhen,,China,Interactive Entertainment Innovator,Real-Time 3D Graphics & Game Engine Development,Foundational Contributions to Open-Source Operating Systems and Compilers
Tim Romero 184,1913-11-19,Toronto,Ontario,Canada,Gaming Industry Pioneer,"Game Design Methodology, Simulation & Interactive Storytelling",Creating Iconic Open-World Video Games and Strategy Mechanics
Andrew Wright 185,1927-07-24,Palo Alto,California,United States,Game Engine Architect,"Game Design Methodology, Simulation & Interactive Storytelling",Foundational Contributions to Open-Source Operating Systems and Compilers
Ada Carmack 186,1974-10-15,Helsinki,,Finland,Artificial Intelligence Researcher,Deep Learning Architectures & Neural Network Optimization,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Geoffrey Wozniak 187,1980-12-21,Beijing,,China,Artificial General Intelligence Researcher,Real-Time 3D Graphics & Game Engine Development,Developing Industry-Standard Game Engines and Physics Simulations
Sidney Buterin 188,1947-08-17,Paris,,France,Video Game Designer,Deep Learning Architectures & Neural Network Optimization,Creating Iconic Open-World Video Games and Strategy Mechanics
Ali LeCun 189,1948-08-04,Toronto,Ontario,Canada,Neural Network Researcher,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Sergey Wozniak 190,1948-12-26,Shenzhen,,China,Systems Software Architect,Real-Time 3D Graphics & Game Engine Development,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Guido Wozniak 191,1965-11-17,Zurich,,Switzerland,Neural Network Researcher,Deep Learning Architectures & Neural Network Optimization,Advancing Reinforcement Learning for Complex Strategic Decision Making
John Lovelace 192,1994-12-09,Seoul,,South Korea,Neural Network Researcher,Large Language Models & Generative Artificial Intelligence,Developing Industry-Standard Game Engines and Physics Simulations
Ada Lovelace 193,1943-11-14,Zurich,,Switzerland,Cloud Computing Architect,Real-Time 3D Graphics & Game Engine Development,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Bill Sweeney 194,1981-01-12,Berlin,,Germany,Artificial Intelligence Researcher,"Game Design Methodology, Simulation & Interactive Storytelling",Foundational Contributions to Open-Source Operating Systems and Compilers
Guido LeCun 195,1926-09-11,Shenzhen,,China,Systems Software Architect,Deep Learning Architectures & Neural Network Optimization,Developing Industry-Standard Game Engines and Physics Simulations
Sundar Newell 196,1992-12-23,Zurich,,Switzerland,Gaming Industry Pioneer,"Distributed Systems, Operating Systems & Cloud Architecture",Developing Industry-Standard Game Engines and Physics Simulations
Andrew Romero 197,1942-11-28,Seoul,,South Korea,Artificial Intelligence Researcher,"Distributed Systems, Operating Systems & Cloud Architecture",Developing Industry-Standard Game Engines and Physics Simulations
Sidney Berners-Lee 198,1966-04-26,London,,United Kingdom,Cloud Computing Architect,Real-Time 3D Graphics & Game Engine Development,Foundational Contributions to Open-Source Operating Systems and Compilers
Demis Kojima 199,1987-08-21,Shenzhen,,China,Video Game Designer,Large Language Models & Generative Artificial Intelligence,Creating Iconic Open-World Video Games and Strategy Mechanics
Bjarne Turing 200,1950-05-07,San Francisco,California,United States,Artificial General Intelligence Researcher,Deep Learning Architectures & Neural Network Optimization,Foundational Contributions to Open-Source Operating Systems and Compilers
Dennis Wright 201,1917-02-21,Vancouver,British Columbia,Canada,Systems Software Architect,Deep Learning Architectures & Neural Network Optimization,Creating Iconic Open-World Video Games and Strategy Mechanics
Aman Bhutani 202,1950-04-01,London,,United Kingdom,Gaming Industry Pioneer,"Distributed Systems, Operating Systems & Cloud Architecture",Pioneering Transformer Models and Generative AI Paradigms
Gabe Lovelace 203,1927-12-22,London,,United Kingdom,Game Engine Architect,"Distributed Systems, Operating Systems & Cloud Architecture",Advancing Reinforcement Learning for Complex Strategic Decision Making
Satya Buterin 204,1952-12-04,Stockholm,,Sweden,Gaming Industry Pioneer,Reinforcement Learning & Autonomous Decision Systems,Foundational Contributions to Open-Source Operating Systems and Compilers
Tim Buterin 205,1935-04-01,Tokyo,,Japan,Software Engineering Leader,Large Language Models & Generative Artificial Intelligence,Developing Industry-Standard Game Engines and Physics Simulations
Alan Eich 206,1943-08-19,Seoul,,South Korea,Video Game Designer,Reinforcement Learning & Autonomous Decision Systems,Foundational Contributions to Open-Source Operating Systems and Compilers
Will Lovelace 207,1927-02-26,Cambridge,Massachusetts,United States,Deep Learning Scientist,Deep Learning Architectures & Neural Network Optimization,Developing Industry-Standard Game Engines and Physics Simulations
Andrew Berners-Lee 208,1978-07-18,Austin,Texas,United States,Gaming Industry Pioneer,Real-Time 3D Graphics & Game Engine Development,Creating Iconic Open-World Video Games and Strategy Mechanics
Jeff Turing 209,1987-12-16,Zurich,,Switzerland,Deep Learning Scientist,Large Language Models & Generative Artificial Intelligence,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Satya Romero 210,1917-02-26,Stockholm,,Sweden,Interactive Entertainment Innovator,Reinforcement Learning & Autonomous Decision Systems,Foundational Contributions to Open-Source Operating Systems and Compilers
Steve Berners-Lee 211,1950-09-12,Paris,,France,Artificial Intelligence Researcher,"Distributed Systems, Operating Systems & Cloud Architecture",Foundational Contributions to Open-Source Operating Systems and Compilers
Hideo Wozniak 212,1931-10-07,Zurich,,Switzerland,Neural Network Researcher,Real-Time 3D Graphics & Game Engine Development,Advancing Reinforcement Learning for Complex Strategic Decision Making
Yann Williams 213,1958-06-02,San Francisco,California,United States,Artificial General Intelligence Researcher,Real-Time 3D Graphics & Game Engine Development,Pioneering Transformer Models and Generative AI Paradigms
Will Nakamoto 214,1977-01-16,San Francisco,California,United States,Interactive Entertainment Innovator,Reinforcement Learning & Autonomous Decision Systems,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Vitalik Furukawa 215,1938-01-12,Shenzhen,,China,Artificial Intelligence Researcher,Deep Learning Architectures & Neural Network Optimization,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Tim Ng 216,1926-08-10,Beijing,,China,Software Engineering Leader,"Game Design Methodology, Simulation & Interactive Storytelling",Creating Iconic Open-World Video Games and Strategy Mechanics
Sam Bezos 217,1946-09-05,Seoul,,South Korea,Artificial Intelligence Researcher,Reinforcement Learning & Autonomous Decision Systems,Pioneering Transformer Models and Generative AI Paradigms
Satya Khosla 218,1984-07-24,Paris,,France,Interactive Entertainment Innovator,Reinforcement Learning & Autonomous Decision Systems,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Sid Carmack 219,1968-07-23,Tokyo,,Japan,Software Engineering Leader,"Game Design Methodology, Simulation & Interactive Storytelling",Developing Industry-Standard Game Engines and Physics Simulations
Demis Pichai 220,1953-07-16,Beijing,,China,Game Engine Architect,"Game Design Methodology, Simulation & Interactive Storytelling",Developing Industry-Standard Game Engines and Physics Simulations
Ada Stroustrup 221,1935-10-08,Bangalore,Karnataka,India,Artificial Intelligence Researcher,"Game Design Methodology, Simulation & Interactive Storytelling",Pioneering Transformer Models and Generative AI Paradigms
Gabe Berners-Lee 222,1905-10-28,London,,United Kingdom,Game Engine Architect,"Game Design Methodology, Simulation & Interactive Storytelling",Advancing Reinforcement Learning for Complex Strategic Decision Making
Guido Hassabis 223,1951-08-06,Bangalore,Karnataka,India,Systems Software Architect,"Game Design Methodology, Simulation & Interactive Storytelling",Pioneering Transformer Models and Generative AI Paradigms
Sam Thompson 224,1935-07-10,Tokyo,,Japan,Artificial Intelligence Researcher,Real-Time 3D Graphics & Game Engine Development,Developing Industry-Standard Game Engines and Physics Simulations
Sidney Nakamoto 225,1974-01-21,Seoul,,South Korea,Systems Software Architect,Real-Time 3D Graphics & Game Engine Development,Developing Industry-Standard Game Engines and Physics Simulations
Aman Lovelace 226,1945-06-24,Cambridge,Massachusetts,United States,Gaming Industry Pioneer,Deep Learning Architectures & Neural Network Optimization,Creating Iconic Open-World Video Games and Strategy Mechanics
Sam Van Rossum 227,1921-10-27,Zurich,,Switzerland,Video Game Designer,"Distributed Systems, Operating Systems & Cloud Architecture",Creating Iconic Open-World Video Games and Strategy Mechanics
Bill Williams 228,1983-05-01,Seattle,Washington,United States,Game Engine Architect,Real-Time 3D Graphics & Game Engine Development,Foundational Contributions to Open-Source Operating Systems and Compilers
Ali Brin 229,1945-08-08,Shenzhen,,China,Systems Software Architect,Real-Time 3D Graphics & Game Engine Development,Foundational Contributions to Open-Source Operating Systems and Compilers
Gabe Hinton 230,1950-04-10,Tokyo,,Japan,Artificial General Intelligence Researcher,Reinforcement Learning & Autonomous Decision Systems,Foundational Contributions to Open-Source Operating Systems and Compilers
Sam Nadella 231,1914-10-26,Shenzhen,,China,Gaming Industry Pioneer,Large Language Models & Generative Artificial Intelligence,Foundational Contributions to Open-Source Operating Systems and Compilers
Sid Meier 232,1978-11-08,Seattle,Washington,United States,Neural Network Researcher,Deep Learning Architectures & Neural Network Optimization,Creating Iconic Open-World Video Games and Strategy Mechanics
Guido Pichai 233,1943-11-16,Toronto,Ontario,Canada,Artificial Intelligence Researcher,"Distributed Systems, Operating Systems & Cloud Architecture",Pioneering Transformer Models and Generative AI Paradigms
Bill Stroustrup 234,1994-12-15,Vancouver,British Columbia,Canada,Deep Learning Scientist,Large Language Models & Generative Artificial Intelligence,Foundational Contributions to Open-Source Operating Systems and Compilers
Demis Meier 235,1968-11-26,Berlin,,Germany,Deep Learning Scientist,"Game Design Methodology, Simulation & Interactive Storytelling",Pioneering Transformer Models and Generative AI Paradigms
Roberta Ritchie 236,1962-07-22,Palo Alto,California,United States,Software Engineering Leader,"Distributed Systems, Operating Systems & Cloud Architecture",Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Satya Wozniak 237,1901-08-23,London,,United Kingdom,Software Engineering Leader,Reinforcement Learning & Autonomous Decision Systems,Developing Industry-Standard Game Engines and Physics Simulations
Brenda Romero 238,1938-06-06,Paris,,France,Gaming Industry Pioneer,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Linus Newell 239,1926-08-28,Toronto,Ontario,Canada,Cloud Computing Architect,"Game Design Methodology, Simulation & Interactive Storytelling",Advancing Reinforcement Learning for Complex Strategic Decision Making
Sid Romero 240,1926-04-15,Vancouver,British Columbia,Canada,Deep Learning Scientist,"Distributed Systems, Operating Systems & Cloud Architecture",Developing Industry-Standard Game Engines and Physics Simulations
Mark Van Rossum 241,1926-02-07,San Francisco,California,United States,Software Engineering Leader,"Game Design Methodology, Simulation & Interactive Storytelling",Developing Industry-Standard Game Engines and Physics Simulations
Satya Bhutani 242,1967-07-07,Berlin,,Germany,Neural Network Researcher,Deep Learning Architectures & Neural Network Optimization,Foundational Contributions to Open-Source Operating Systems and Compilers
Linus Torvalds 243,1915-02-24,Stockholm,,Sweden,Software Engineering Leader,Deep Learning Architectures & Neural Network Optimization,Advancing Reinforcement Learning for Complex Strategic Decision Making
Brendan Lovelace 244,1965-05-09,Helsinki,,Finland,Open Source Software Pioneer,Reinforcement Learning & Autonomous Decision Systems,Pioneering Transformer Models and Generative AI Paradigms
Ken Bhutani 245,1905-10-06,Toronto,Ontario,Canada,Video Game Designer,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Brenda Torvalds 246,1925-11-14,Beijing,,China,Artificial Intelligence Researcher,"Game Design Methodology, Simulation & Interactive Storytelling",Pioneering Transformer Models and Generative AI Paradigms
Sidney Eich 247,1921-10-25,Helsinki,,Finland,Video Game Designer,Reinforcement Learning & Autonomous Decision Systems,Developing Industry-Standard Game Engines and Physics Simulations
Satya Page 248,1927-11-02,Sydney,New South Wales,Australia,Video Game Designer,Deep Learning Architectures & Neural Network Optimization,Advancing Reinforcement Learning for Complex Strategic Decision Making
Bjarne Eich 249,1961-07-16,Tokyo,,Japan,Video Game Designer,Reinforcement Learning & Autonomous Decision Systems,Creating Iconic Open-World Video Games and Strategy Mechanics
Elena Romero 250,1928-10-12,Toronto,Ontario,Canada,Interactive Entertainment Innovator,Reinforcement Learning & Autonomous Decision Systems,Developing Industry-Standard Game Engines and Physics Simulations
Steve Sweeney 251,1949-07-02,San Francisco,California,United States,Game Engine Architect,Large Language Models & Generative Artificial Intelligence,Creating Iconic Open-World Video Games and Strategy Mechanics
Sergey Hinton 252,1950-06-12,Vancouver,British Columbia,Canada,Video Game Designer,"Distributed Systems, Operating Systems & Cloud Architecture",Developing Industry-Standard Game Engines and Physics Simulations
Yann Page 253,1912-12-17,Austin,Texas,United States,Gaming Industry Pioneer,"Distributed Systems, Operating Systems & Cloud Architecture",Creating Iconic Open-World Video Games and Strategy Mechanics
Ali Bhutani 254,1921-02-28,Palo Alto,California,United States,Software Engineering Leader,Large Language Models & Generative Artificial Intelligence,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Sergey Hinton 255,1974-10-20,Berlin,,Germany,Artificial General Intelligence Researcher,Reinforcement Learning & Autonomous Decision Systems,Pioneering Transformer Models and Generative AI Paradigms
Jeff Williams 256,1960-05-24,Zurich,,Switzerland,Neural Network Researcher,"Distributed Systems, Operating Systems & Cloud Architecture",Foundational Contributions to Open-Source Operating Systems and Compilers
Grace Torvalds 257,1970-02-05,Helsinki,,Finland,Open Source Software Pioneer,Real-Time 3D Graphics & Game Engine Development,Creating Iconic Open-World Video Games and Strategy Mechanics
Steve Kojima 258,1918-01-02,Helsinki,,Finland,Cloud Computing Architect,Deep Learning Architectures & Neural Network Optimization,Developing Industry-Standard Game Engines and Physics Simulations
Ali Sweeney 259,1921-02-10,Austin,Texas,United States,Interactive Entertainment Innovator,Deep Learning Architectures & Neural Network Optimization,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Yann Gates 260,1987-06-18,Beijing,,China,Gaming Industry Pioneer,Large Language Models & Generative Artificial Intelligence,Advancing Reinforcement Learning for Complex Strategic Decision Making
Geoffrey Hernandez 261,1900-05-11,Shenzhen,,China,Cloud Computing Architect,Real-Time 3D Graphics & Game Engine Development,Foundational Contributions to Open-Source Operating Systems and Compilers
Shuntaro Hassabis 262,1908-07-09,Tokyo,,Japan,Open Source Software Pioneer,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Vitalik Romero 263,1908-10-20,Seattle,Washington,United States,Neural Network Researcher,"Distributed Systems, Operating Systems & Cloud Architecture",Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Sam Turing 264,1986-01-28,Sydney,New South Wales,Australia,Interactive Entertainment Innovator,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Bjarne Hopper 265,1914-06-12,Shenzhen,,China,Cloud Computing Architect,Reinforcement Learning & Autonomous Decision Systems,Pioneering Transformer Models and Generative AI Paradigms
Aman Berners-Lee 266,1920-02-21,Beijing,,China,Software Engineering Leader,Large Language Models & Generative Artificial Intelligence,Advancing Reinforcement Learning for Complex Strategic Decision Making
Sundar Berners-Lee 267,1902-03-24,San Francisco,California,United States,Cloud Computing Architect,Real-Time 3D Graphics & Game Engine Development,Creating Iconic Open-World Video Games and Strategy Mechanics
Aman Hopper 268,1911-08-02,Bangalore,Karnataka,India,Artificial Intelligence Researcher,Deep Learning Architectures & Neural Network Optimization,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Tim Wozniak 269,1959-08-22,Seattle,Washington,United States,Artificial General Intelligence Researcher,Deep Learning Architectures & Neural Network Optimization,Creating Iconic Open-World Video Games and Strategy Mechanics
Jeff Berners-Lee 270,1993-04-15,Shenzhen,,China,Artificial General Intelligence Researcher,"Game Design Methodology, Simulation & Interactive Storytelling",Pioneering Transformer Models and Generative AI Paradigms
John Wright 271,1909-09-26,Stockholm,,Sweden,Gaming Industry Pioneer,Reinforcement Learning & Autonomous Decision Systems,Creating Iconic Open-World Video Games and Strategy Mechanics
Bill Carmack 272,1945-12-01,London,,United Kingdom,Gaming Industry Pioneer,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Ada Newell 273,1959-11-23,Vancouver,British Columbia,Canada,Open Source Software Pioneer,Deep Learning Architectures & Neural Network Optimization,Creating Iconic Open-World Video Games and Strategy Mechanics
Satya Hinton 274,1935-12-06,Berlin,,Germany,Neural Network Researcher,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Demis Berners-Lee 275,1947-02-06,Bangalore,Karnataka,India,Software Engineering Leader,"Game Design Methodology, Simulation & Interactive Storytelling",Foundational Contributions to Open-Source Operating Systems and Compilers
Satya Meier 276,1938-11-19,Tokyo,,Japan,Systems Software Architect,Reinforcement Learning & Autonomous Decision Systems,Developing Industry-Standard Game Engines and Physics Simulations
Sam Williams 277,1924-09-03,Helsinki,,Finland,Artificial General Intelligence Researcher,Large Language Models & Generative Artificial Intelligence,Developing Industry-Standard Game Engines and Physics Simulations
Sidney Hopper 278,1945-09-21,San Francisco,California,United States,Neural Network Researcher,"Game Design Methodology, Simulation & Interactive Storytelling",Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Aman Hinton 279,1942-10-28,Tokyo,,Japan,Artificial Intelligence Researcher,Deep Learning Architectures & Neural Network Optimization,Developing Industry-Standard Game Engines and Physics Simulations
Brendan Meier 280,1960-01-11,Kyoto,,Japan,Cloud Computing Architect,Large Language Models & Generative Artificial Intelligence,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Andrew Bezos 281,1980-10-17,Bangalore,Karnataka,India,Gaming Industry Pioneer,Deep Learning Architectures & Neural Network Optimization,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Ken Stroustrup 282,1950-01-18,Bangalore,Karnataka,India,Software Engineering Leader,"Game Design Methodology, Simulation & Interactive Storytelling",Developing Industry-Standard Game Engines and Physics Simulations
Bjarne Huang 283,1931-11-28,Vancouver,British Columbia,Canada,Video Game Designer,Large Language Models & Generative Artificial Intelligence,Creating Iconic Open-World Video Games and Strategy Mechanics
Tim Zuckerberg 284,1915-03-06,Seoul,,South Korea,Gaming Industry Pioneer,"Distributed Systems, Operating Systems & Cloud Architecture",Advancing Reinforcement Learning for Complex Strategic Decision Making
John Eich 285,1949-08-17,Stockholm,,Sweden,Cloud Computing Architect,"Distributed Systems, Operating Systems & Cloud Architecture",Developing Industry-Standard Game Engines and Physics Simulations
Satoshi Thompson 286,1975-12-03,Toronto,Ontario,Canada,Cloud Computing Architect,"Distributed Systems, Operating Systems & Cloud Architecture",Pioneering Transformer Models and Generative AI Paradigms
Mark Ritchie 287,1921-12-10,Zurich,,Switzerland,Game Engine Architect,"Game Design Methodology, Simulation & Interactive Storytelling",Pioneering Transformer Models and Generative AI Paradigms
Dennis Buterin 288,1906-10-07,Shenzhen,,China,Open Source Software Pioneer,Reinforcement Learning & Autonomous Decision Systems,Developing Industry-Standard Game Engines and Physics Simulations
Brenda Berners-Lee 289,1935-06-15,London,,United Kingdom,Cloud Computing Architect,"Distributed Systems, Operating Systems & Cloud Architecture",Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Larry Thompson 290,1903-12-23,Cambridge,Massachusetts,United States,Gaming Industry Pioneer,"Distributed Systems, Operating Systems & Cloud Architecture",Foundational Contributions to Open-Source Operating Systems and Compilers
Sundar Laurel 291,1994-10-14,Zurich,,Switzerland,Cloud Computing Architect,Large Language Models & Generative Artificial Intelligence,Revolutionizing Real-Time Ray Tracing and GPU Computing Architectures
Demis Vasiliev 292,1974-11-27,Vancouver,British Columbia,Canada,Neural Network Researcher,Real-Time 3D Graphics & Game Engine Development,Foundational Contributions to Open-Source Operating Systems and Compilers
Jeff Eich 293,1934-04-24,Toronto,Ontario,Canada,Neural Network Researcher,"Game Design Methodology, Simulation & Interactive Storytelling",Advancing Reinforcement Learning for Complex Strategic Decision Making
Dennis Van Rossum 294,1956-01-27,Shenzhen,,China,Artificial Intelligence Researcher,Real-Time 3D Graphics & Game Engine Development,Advancing Reinforcement Learning for Complex Strategic Decision Making
Yann Buterin 295,1975-11-20,Seattle,Washington,United States,Artificial Intelligence Researcher,Large Language Models & Generative Artificial Intelligence,Pioneering Transformer Models and Generative AI Paradigms
Sam Page 296,1989-01-21,Tokyo,,Japan,Artificial Intelligence Researcher,"Game Design Methodology, Simulation & Interactive Storytelling",Creating Iconic Open-World Video Games and Strategy Mechanics
Tim Hernandez 297,1986-03-13,Paris,,France,Deep Learning Scientist,Reinforcement Learning & Autonomous Decision Systems,Foundational Contributions to Open-Source Operating Systems and Compilers
Brendan Hernandez 298,1934-07-01,Cambridge,Massachusetts,United States,Systems Software Architect,Reinforcement Learning & Autonomous Decision Systems,Advancing Reinforcement Learning for Complex Strategic Decision Making
Geoffrey Nakamoto 299,1988-11-20,Beijing,,China,Software Engineering Leader,Deep Learning Architectures & Neural Network Optimization,Pioneering Transformer Models and Generative AI Paradigms
Sergey Nadella 300,1928-01-19,Tokyo,,Japan,Gaming Industry Pioneer,Large Language Models & Generative Artificial Intelligence,Foundational Contributions to Open-Source Operating Systems and Compilers
Steve Nadella 301,1906-12-20,Beijing,,China,Neural Network Researcher,Large Language Models & Generative Artificial Intelligence,Advancing Reinforcement Learning for Complex Strategic Decision Making
Ken Kojima 302,1901-11-08,Shenzhen,,China,Cloud Computing Architect,"Game Design Methodology, Simulation & Interactive Storytelling",Advancing Reinforcement Learning for Complex Strategic Decision Making
Tim Hinton 303,1945-06-20,Austin,Texas,United States,Artificial Intelligence Researcher,Real-Time 3D Graphics & Game Engine Development,Pioneering Transformer Models and Generative AI Paradigms
Javier Khosla 304,1936-07-16,Palo Alto,California,United States,Gaming Industry Pioneer,Real-Time 3D Graphics & Game Engine Development,Developing Industry-Standard Game Engines and Physics Simulations
Dennis Van Rossum 305,1952-02-13,San Francisco,California,United States,Gaming Industry Pioneer,"Distributed Systems, Operating Systems & Cloud Architecture",Pioneering Transformer Models and Generative AI Paradigms
Demis Laurel 306,1941-08-16,Seoul,,South Korea,Artificial Intelligence Researcher,"Game Design Methodology, Simulation & Interactive Storytelling",Developing Industry-Standard Game Engines and Physics Simulations
Mark Williams 307,1902-09-12,Seattle,Washington,United States,Game Engine Architect,Real-Time 3D Graphics & Game Engine Development,Developing Industry-Standard Game Engines and Physics Simulations
Brenda Nakamoto 308,1981-08-28,San Francisco,California,United States,Artificial General Intelligence Researcher,Deep Learning Architectures & Neural Network Optimization,Advancing Reinforcement Learning for Complex Strategic Decision Making
Vitalik Eich 309,1977-11-19,Bangalore,Karnataka,India,Artificial Intelligence Researcher,"Distributed Systems, Operating Systems & Cloud Architecture",Foundational Contributions to Open-Source Operating Systems and Compilers
Brendan Berners-Lee 310,1939-09-03,Berlin,,Germany,Systems Software Architect,Real-Time 3D Graphics & Game Engine Development,Creating Iconic Open-World Video Games and Strategy Mechanics
